ID Pembekal	Nama Pembekal
UP00139	ARDILA SHARIZA \& AZLAN
UP00140	ARUSHA TRADING \& SERVICES (M) SDN
UP00141	ARIFF IKLAN
UP00142	ARTISAN RENOVATIONS
UP00143	NOOR SUHA AZWAR BIN AWANG @ YUNIS
UP00144	ARCRADIUS SDN BHD
UP00145	ARI MOVERS (M ) SDN BHD
UP00146	THEART PUBLISHING AND DISTRIBUTION SDN
UP00147	AR BERJAYA ENTERPRISE
UP00148	ARB MAJU ENTERPRISE
UP00149	ARTBUILDERS MANAGEMENT SDN BHD
UP00150	ART DISTRIBUTORS
UP00151	ART ROOM TRADING
UP00152	ARFATRONICS ENGINEERING SDN BHD
UP00153	KETUA PENGARAH ARKIB NEGARA MALAYSIA
UP00154	ARROW MAX ENTERPRISE
UP00155	ARKIB NEGARA MALAYSIA
UP00156	AR BERJAYA ENTERPRISE
UP00157	ARAH MEKAR SDN BHD
UP00158	ARTDIN DESIGN
UP00159	ARTIDUA NIAGA SDN BHD
UP00160	ASIAN SUPPLY CHAIN SDN BHD
UP00161	ASPTON COURIER SDN BHD
UP00162	ASSOCIATED PRESS
UP00163	ASSOCIATED PRESS TELEVISION NEWS LIMITE
UP00164	ASIASOFT (M) SDN. BHD.
UP00165	ASAS NIKMAT SDN. BHD.
UP00166	ASIANKOM COMMUNICATION (M) SDN.BHD.
UP00167	ASIAPAC DISTRIBUTION PTE. LTD.
UP00168	A.S. ENGINEERING SDN. BHD.
UP00169	ASKME SDN BHD
UP00170	ASK SEPAKAT SDN BHD
UP00171	AST ENGINEERING ENTERPRISE
UP00172	A\&S INNOVATION
UP00173	ASTRAL REALTY SDN BHD
UP00174	ASBA SDN BHD
UP00175	ASR SYNERGY
UP00176	ASNOR MEGA RESOURCES
UP00177	A.S WENG HUP ELECTRICAL \& MACHINERY SD
UP00178	ASMAR ENTERPRISE
UP00179	ASIAN KITCHEN (M) SDN BHD
UP00180	ASLITA SDN BHD
UP00181	ASK GLOBAL RESOURCES SDN BHD
UP00182	ASHMAN JAYA RESOURCES
UP00183	ASWARA DANCE COMPANY SDN BHD
UP00184	ASIA PLUS OFFICE AUTOMATION SDN BHD
UP00185	ASTAKA TRADING \& SERVICES
UP00186	ATLANTIC AIR CONDITIONERS AND
UP00187	A\&T TRADE AND SERVICES
UP00188	AULIA BINA ENTERPRISE
UP00189	AUTO-TRANSMISSION AND DIESEL SERVICES S
UP00190	AUTO TULIN SDN. BHD.
UP00191	AUTO DUNIA SDN BHD
UP00192	AVO TECHNOLOGY SDN BHD
UP00193	ADA VISION COMMUNICATION SDN BHD
UP00194	AVERY DESIGN SDN. BHD.
UP00195	AVICENNA ENTERPRISE
UP00196	AVI SDN BHD
UP00197	AWIE TELECOMMUNICATION
UP00198	AWAN SEPADU ENTERPRISE
UP00199	AWANA \& LIE CAR AIR-CON SERVICE
UP00200	AWAL BAAMIIS SDN BHD
UP00201	AXIS COMPUTERS SDN.BHD.
UP00202	AYAT COMPUTER CENTRE
UP00203	AZAHARI BIN MUDA \& WAN
UP00204	AZAM RENOVATION \& RENOVATION
UP00205	AZ VIDEOGRAPHY
UP00206	AZURE INFO MANAGEMENT AND NETWORK SDMOHD YAZID
UP00207	AZIMAT TRADE DEVELOPMENT SDN BHD
UP00208	AZREH ENTERPRISE
UP00209	AZ TWENTY SIX PRINTING SDN BHD
UP00210	AZ ENTERPRISE
UP00211	AZAS REKALOGAM SDN BHD
